,item,Date,Price,Item,Location,Details
129,['Coffee'],2024-03-25,Coffee,,,
130,"['4960', ' clothes', ' uniqlo']",2024-03-25,4960, clothes, uniqlo,
131,"['2910', ' shoes', ' workman']",2024-03-25,2910, shoes, workman,
132,"['2160', ' Social gift', ' Mizonokuchi', ' sembei for mookda-san']",2024-03-25,2160, Social gift, Mizonokuchi, sembei for mookda-san
133,"['1170', ' Social gift', ' summit', ' coffee for prasit-san']",2024-03-25,1170, Social gift, summit, coffee for prasit-san
134,"['800', ' social gift', ' summit', ' sake for prasit-san']",2024-03-25,800, social gift, summit, sake for prasit-san
135,"['684', ' groceries', ' summit']",2024-03-25,684, groceries, summit,
139,"['840', ' dinner', ' donmaru']",2024-03-28,840, dinner, donmaru,
140,"['140', ' mail for hello work', ' post office']",2024-03-28,140, mail for hello work, post office,
142,"['0', ' 0', ' 0']",2024-03-29,0, 0, 0,
144,"['2841', ' groceries', ' summit']",2024-03-30,2841, groceries, summit,
146,"['540', ' dinner', ' donmaru']",2024-03-31,540, dinner, donmaru,
148,"['105', ' snack', ' vending machine']",2024-04-01,105, snack, vending machine,
150,"['309', ' snacks', ' welpark']",2024-04-02,309, snacks, welpark,
151,"['611', ' snacks', ' 7-11']",2024-04-02,611, snacks, 7-11,
153,"['1900', ' social dinner', ' Takashimaya', ' Ray']",2024-04-03,1900, social dinner, Takashimaya, Ray
155,"['306', ' snacks', ' Lawson']",2024-04-04,306, snacks, Lawson,
156,"['4500', ' social dinner', ' sushi sumibi', ' old cc members']",2024-04-04,4500, social dinner, sushi sumibi, old cc members
158,"['307', ' snacks', ' famima mart']",2024-04-05,307, snacks, famima mart,
160,"['0', ' 0', ' 0']",2024-04-06,0, 0, 0,
162,"['3444', ' groceries', ' summit']",2024-04-07,3444, groceries, summit,
163,"['4550', ' social gift', ' post office', ' mookda prasit']",2024-04-07,4550, social gift, post office, mookda prasit
164,"['220', ' household', ' daiso']",2024-04-07,220, household, daiso,
165,"['?', ' Thai trip', ' Agoda']",2024-04-07,?, Thai trip, Agoda,
167,"['750', ' dinner', ' McDonald’s']",2024-04-08,750, dinner, McDonald’s,
170,"['162', ' drink', ' lawson']",2024-04-10,162, drink, lawson,
172,"['1561', ' snacks', ' summit']",2024-04-11,1561, snacks, summit,
173,"['1000', ' groceries', ' summit']",2024-04-11,1000, groceries, summit,
174,"['756', ' dinner', ' kamal']",2024-04-11,756, dinner, kamal,
176,"['1344', ' book', ' amazon', ' outliers']",2024-04-12,1344, book, amazon, outliers
177,"['841', ' coffee supplies', ' amazon']",2024-04-12,841, coffee supplies, amazon,
178,"['610', ' Covid tests', ' amazon']",2024-04-12,610, Covid tests, amazon,
181,"['2493', ' Groceries', ' Asia super store']",2024-04-14,2493, Groceries, Asia super store,
182,"['3520', ' haircut', ' chill']",2024-04-14,3520, haircut, chill,
183,"['1000', ' dinner', ' Aoba', ' ramen']",2024-04-14,1000, dinner, Aoba, ramen
184,"['1200', ' snacks', ' summit']",2024-04-14,1200, snacks, summit,
185,"['1501', ' groceries', ' summit']",2024-04-14,1501, groceries, summit,
186,"['1850', ' coffee beans', ' Muto']",2024-04-14,1850, coffee beans, Muto,
188,"['530', ' dinner', ' summit']",2024-04-15,530, dinner, summit,
190,"['856', ' household', ' crimson store', ' batteries for mouse']",2024-04-16,856, household, crimson store, batteries for mouse
191,"['150', ' snacks', ' Lawson']",2024-04-16,150, snacks, Lawson,
192,"['2085', ' household', ' welpark']",2024-04-16,2085, household, welpark,
193,"['200', ' snacks', ' 7-11']",2024-04-16,200, snacks, 7-11,
195,"['173', ' snacks', ' famima']",2024-04-17,173, snacks, famima,
196,"['1546', ' groceries', ' summit']",2024-04-17,1546, groceries, summit,
197,"['110', ' household', ' cando', ' plastic bags']",2024-04-17,110, household, cando, plastic bags
199,"['0', '0', '0']",2024-04-18,0,0,0,
201,"['160', ' snacks', ' family mart']",2024-04-19,160, snacks, family mart,
203,"['0', '0', '0']",2024-04-20,0,0,0,
205,"['2200', ' frying pan', ' amazon']",2024-04-21,2200, frying pan, amazon,
206,"['268', ' groceries', ' welpark']",2024-04-21,268, groceries, welpark,
207,"['1701', ' household', ' welpark']",2024-04-21,1701, household, welpark,
208,"['423', ' household', ' cocokara']",2024-04-21,423, household, cocokara,
210,"['2142', ' social gift', ' Tokyu', ' last day']",2024-04-22,2142, social gift, Tokyu, last day
211,"['230', ' drinks', ' famima']",2024-04-22,230, drinks, famima,
212,"['17000', ' social stuff', ' Harry Potter']",2024-04-22,17000, social stuff, Harry Potter,
213,"['2200', ' social stuff', ' yayoi kusama']",2024-04-22,2200, social stuff, yayoi kusama,
215,"['332', ' groceries', ' welpark']",2024-04-23,332, groceries, welpark,
216,"['3140', ' dinner', ' torisetsu']",2024-04-23,3140, dinner, torisetsu,
217,"['213', ' groceries', ' summit']",2024-04-23,213, groceries, summit,
219,"['2250', ' lunch', ' Sushiro']",2024-04-24,2250, lunch, Sushiro,
220,"['850', ' dinner', ' Chinese place']",2024-04-24,850, dinner, Chinese place,
221,"['309', ' groceries', ' summit']",2024-04-24,309, groceries, summit,
222,"['3500', ' lunch', ' Harry Potter']",2024-04-24,3500, lunch, Harry Potter,
224,"['1800', ' social lunch', ' Takasaki', ' Sukaya udon']",2024-04-25,1800, social lunch, Takasaki, Sukaya udon
225,"['3587', ' social dinner', ' Kusatsu']",2024-04-25,3587, social dinner, Kusatsu,
227,"['68330', ' rent', ' May 2024']",2024-04-26,68330, rent, May 2024,
228,"['324', ' social gift', ' Karuizawa', ' beer']",2024-04-26,324, social gift, Karuizawa, beer
229,"['1111', ' coffee beans', ' Maruyama']",2024-04-26,1111, coffee beans, Maruyama,
230,"['1404', ' social coffee', ' Maruyama']",2024-04-26,1404, social coffee, Maruyama,
231,"['3914', ' social dinner', ' glamping']",2024-04-26,3914, social dinner, glamping,
232,"['4730', ' social lunch', ' kawakamian']",2024-04-26,4730, social lunch, kawakamian,
233,"['1120', ' social snacks', ' apple pie lab']",2024-04-26,1120, social snacks, apple pie lab,
234,"['22000', ' glamping', ' akatsuki village']",2024-04-26,22000, glamping, akatsuki village,
235,"['500', ' toll road', ' Karuizawa']",2024-04-26,500, toll road, Karuizawa,
237,"['200', ' omikuji', ' temple']",2024-04-27,200, omikuji, temple,
238,"['200', ' incense', ' temple']",2024-04-27,200, incense, temple,
239,"['2006', ' gas', ' Apollo']",2024-04-27,2006, gas, Apollo,
240,"['1000', ' snacks', ' Ikaho']",2024-04-27,1000, snacks, Ikaho,
241,"['300', ' parking', ' Ikaho']",2024-04-27,300, parking, Ikaho,
242,"['4074', ' groceries', ' summit']",2024-04-27,4074, groceries, summit,
244,"['220', ' household', ' daiso']",2024-04-28,220, household, daiso,
245,"['2350', ' dinner', ' fukumuroan']",2024-04-28,2350, dinner, fukumuroan,
246,"['1100', ' coffee beans', ' iron coffee']",2024-04-28,1100, coffee beans, iron coffee,
247,"['3200', ' parfaits', ' shishido']",2024-04-28,3200, parfaits, shishido,
248,"['549', ' household', ' amazon']",2024-04-28,549, household, amazon,
250,"['980', ' drinks', ' Kosugi']",2024-04-29,980, drinks, Kosugi,
251,"['330', ' plant', ' 3 coins']",2024-04-29,330, plant, 3 coins,
252,"['880', ' household', ' 3 coins', ' neck cooler']",2024-04-29,880, household, 3 coins, neck cooler
253,"['471', ' household', ' Seijo', ' toothpaste']",2024-04-29,471, household, Seijo, toothpaste
254,"['2050', ' dinner', ' abura']",2024-04-29,2050, dinner, abura,
255,"['396', ' coffee supplies', ' kitchen store']",2024-04-29,396, coffee supplies, kitchen store,
256,"['494', ' groceries', ' summit']",2024-04-29,494, groceries, summit,
258,"['110', ' household', ' daiso', ' lightbulb']",2024-04-30,110, household, daiso, lightbulb
259,"['3640', ' protein', ' Don Quijote']",2024-04-30,3640, protein, Don Quijote,
260,"['1000', ' household', ' water jug']",2024-04-30,1000, household, water jug,
261,"['1000', ' groceries', ' summit']",2024-04-30,1000, groceries, summit,
262,"['329', ' snacks', ' summit']",2024-04-30,329, snacks, summit,
263,"['440', ' household', ' daiso', ' rice bowls']",2024-04-30,440, household, daiso, rice bowls
264,"['1430', ' personal care', ' welpark', ' masks']",2024-04-30,1430, personal care, welpark, masks
266,"['2761', ' snack', ' Futaba fruits parlor', ' parfait and pancake']",2024-05-01,2761, snack, Futaba fruits parlor, parfait and pancake
267,"['1900', ' lunch', ' Takahashi', ' ramen']",2024-05-01,1900, lunch, Takahashi, ramen
269,"['15290', ' lunch', ' Kimoto']",2024-05-02,15290, lunch, Kimoto,
270,"['1600', ' coffee', ' Kagurazaka']",2024-05-02,1600, coffee, Kagurazaka,
271,"['5900', ' dinner', ' Shibuya', ' bakamusuko']",2024-05-02,5900, dinner, Shibuya, bakamusuko
272,"['2500', ' drinks', ' Shibuya', ' Oslo']",2024-05-02,2500, drinks, Shibuya, Oslo
273,"['7900', ' drinks', ' Ebisu', ' Janai']",2024-05-02,7900, drinks, Ebisu, Janai
275,"['1445', ' groceries', ' summit']",2024-05-03,1445, groceries, summit,
276,"['1500', ' coffee beans', ' homeward']",2024-05-03,1500, coffee beans, homeward,
277,"['162', ' drink', ' famima']",2024-05-03,162, drink, famima,
278,"['409', ' drinks', ' summit']",2024-05-03,409, drinks, summit,
280,"['3570', ' clothes', ' Uniqlo']",2024-05-04,3570, clothes, Uniqlo,
281,"['1000', ' Matsuri food', ' Fuchu']",2024-05-04,1000, Matsuri food, Fuchu,
283,"['315', ' groceries', ' summit']",2024-05-05,315, groceries, summit,
284,"['196', ' snack', ' summit']",2024-05-05,196, snack, summit,
286,"['3850', ' social lunch', ' Erick south', ' sandeep']",2024-05-06,3850, social lunch, Erick south, sandeep
287,"['278', ' dinner', ' summit']",2024-05-06,278, dinner, summit,
289,"['550', ' lunch', ' torisho']",2024-05-07,550, lunch, torisho,
290,"['814', ' groceries', ' summit']",2024-05-07,814, groceries, summit,
291,"['371', ' snacks', ' family mart']",2024-05-07,371, snacks, family mart,
293,"['203', ' groceries', ' 7-11']",2024-05-08,203, groceries, 7-11,
294,"['224', ' groceries', ' welpark']",2024-05-08,224, groceries, welpark,
296,"['180', ' snack', ' McDonald’s']",2024-05-09,180, snack, McDonald’s,
297,"['950', ' dinner', ' McDonald’s']",2024-05-09,950, dinner, McDonald’s,
298,"['375', ' snack', ' welpark']",2024-05-09,375, snack, welpark,
300,"['1210', ' groceries', ' summit']",2024-05-10,1210, groceries, summit,
301,"['980', ' dinner', ' endomon', ' ramen']",2024-05-10,980, dinner, endomon, ramen
303,"['298', ' snack', ' family mart']",2024-05-11,298, snack, family mart,
304,"['864', ' dinner', ' kebab']",2024-05-11,864, dinner, kebab,
306,"['1400', ' lunch', ' Hidaka']",2024-05-12,1400, lunch, Hidaka,
307,"['159', ' snack', ' 7-11']",2024-05-12,159, snack, 7-11,
308,"['730', ' dinner', ' Sukiya']",2024-05-12,730, dinner, Sukiya,
309,"['530', ' onsen', ' Shukugawara']",2024-05-12,530, onsen, Shukugawara,
310,"['913', ' snacks', ' summit']",2024-05-12,913, snacks, summit,
312,"['540', ' lunch', ' donmaru']",2024-05-13,540, lunch, donmaru,
313,"['300', ' groceries', ' donmaru']",2024-05-13,300, groceries, donmaru,
314,"['1034', ' groceries', ' summit']",2024-05-13,1034, groceries, summit,
315,"['2618', ' water bill', ' 7-11']",2024-05-13,2618, water bill, 7-11,
317,"['580', ' dinner', ' torisho']",2024-05-14,580, dinner, torisho,
319,"['950', ' lunch', ' toushoumen']",2024-05-15,950, lunch, toushoumen,
321,"['780', ' lunch', ' Matsuya']",2024-05-16,780, lunch, Matsuya,
322,"['5070', ' clothes', ' uniqlo']",2024-05-16,5070, clothes, uniqlo,
323,"['880', ' dinner', ' morry']",2024-05-16,880, dinner, morry,
324,"['313', ' snacks', ' mister donut']",2024-05-16,313, snacks, mister donut,
326,"['780', ' dinner', ' okamuraya', ' ramen']",2024-05-17,780, dinner, okamuraya, ramen
327,"['1200', ' sauna', ' Komae-yu']",2024-05-17,1200, sauna, Komae-yu,
328,"['2000', ' coffee beans', ' Naruto']",2024-05-17,2000, coffee beans, Naruto,
329,"['373', ' snacks', ' summit']",2024-05-17,373, snacks, summit,
330,"['179', ' drinks', ' family mart']",2024-05-17,179, drinks, family mart,
331,"['60??', ' rent late fee']",2024-05-17,60??, rent late fee,,
333,"['580', ' lunch', ' torisho']",2024-05-18,580, lunch, torisho,
334,"['530', ' snacks', ' doutour']",2024-05-18,530, snacks, doutour,
335,"['3980', ' massage', ' riracle']",2024-05-18,3980, massage, riracle,
336,"['599', ' snacks', ' summit']",2024-05-18,599, snacks, summit,
338,"['602', ' groceries', ' summit']",2024-05-19,602, groceries, summit,
340,"['990', ' plant supplies', ' can do', ' pallets']",2024-05-20,990, plant supplies, can do, pallets
341,"['1308', ' groceries', ' summit']",2024-05-20,1308, groceries, summit,
342,"['1168', ' snacks', ' summit']",2024-05-20,1168, snacks, summit,
344,"['700', ' lunch', ' yoshinoya']",2024-05-21,700, lunch, yoshinoya,
345,"['130', ' water', ' Narita']",2024-05-21,130, water, Narita,
346,"['$7.30USD', ' dinner', ' Noi Bai Airport']",2024-05-21,$7.30USD, dinner, Noi Bai Airport,
348,"['11.00 USD', ' coffee beans', ' Noi bai airport']",2024-05-22,11.00 USD, coffee beans, Noi bai airport,
349,"['8.00 USD', ' coffee supplies', ' Noi bai airport']",2024-05-22,8.00 USD, coffee supplies, Noi bai airport,
350,"['2.00 USD', ' water', ' Noi bai airport']",2024-05-22,2.00 USD, water, Noi bai airport,
351,"['8.00', ' gift', ' noi bai airport', ' instant coffee']",2024-05-22,8.00, gift, noi bai airport, instant coffee
352,"['5.50 USD', ' gift', ' Starbucks', ' tiny mug']",2024-05-22,5.50 USD, gift, Starbucks, tiny mug
353,"['13.20 USD', ' breakfast', ' Noi bai airport', ' coffee and banh mi']",2024-05-22,13.20 USD, breakfast, Noi bai airport, coffee and banh mi
354,"['11.30 USD', ' lunch']",2024-05-22,11.30 USD, lunch,,
355,"['210', '000 VND', ' Coffee gift', ' Noi bai airport']",2024-05-22,210,000 VND, Coffee gift, Noi bai airport
356,"['5.10 USD', ' dinner?', ' noi bai airport']",2024-05-22,5.10 USD, dinner?, noi bai airport,
357,"['280 THB', ' dinner', ' Burger King']",2024-05-22,280 THB, dinner, Burger King,
358,"['5/23', 'THB']",2024-05-22,5/23,THB,,
359,"['90', ' breakfast', ' duck']",2024-05-22,90, breakfast, duck,
360,"['180', ' groceries', ' 7-11']",2024-05-22,180, groceries, 7-11,
361,"['60', ' lunch', ' noodles']",2024-05-22,60, lunch, noodles,
362,"['22', ' snacks', ' 7-11', ' bread']",2024-05-22,22, snacks, 7-11, bread
363,"['4403', ' hotel reservation for 6/1-6/3', ' park plaza']",2024-05-22,4403, hotel reservation for 6/1-6/3, park plaza,
365,"['350', ' SIM card', ' AIS']",2024-05-24,350, SIM card, AIS,
366,"['615', ' Dinner', ' Yung nuey']",2024-05-24,615, Dinner, Yung nuey,
367,"['300', ' clothes', ' seacon', ' elephant set']",2024-05-24,300, clothes, seacon, elephant set
368,"['129', ' clothes', ' seacon', ' slides']",2024-05-24,129, clothes, seacon, slides
369,"['30', ' transportation', ' bang khae', ' bus']",2024-05-24,30, transportation, bang khae, bus
371,"['75', ' cafe study', ' amazon']",2024-05-25,75, cafe study, amazon,
372,"['2400?', ' groceries', ' lotus']",2024-05-25,2400?, groceries, lotus,
373,"['300', ' dinner', ' food villa']",2024-05-25,300, dinner, food villa,
375,"['383', ' lunch', ' don wai']",2024-05-26,383, lunch, don wai,
376,"['500', ' snacks', ' don wai']",2024-05-26,500, snacks, don wai,
378,"['300', ' dinner', ' market']",2024-05-27,300, dinner, market,
380,"['220', ' groceries', ' lemon farm']",2024-05-28,220, groceries, lemon farm,
381,"['65', ' lunch', ' market']",2024-05-28,65, lunch, market,
383,"['940', ' mail', ' Thai post']",2024-05-29,940, mail, Thai post,
384,"['200', ' coffee beans', ' emsphere', ' 100g']",2024-05-29,200, coffee beans, emsphere, 100g
385,"['190', ' coffee beans', ' titicaca']",2024-05-29,190, coffee beans, titicaca,
386,"['195', ' coffee beans', ' harudot', ' 200g']",2024-05-29,195, coffee beans, harudot, 200g
387,"['676', ' dinner', ' seacon']",2024-05-29,676, dinner, seacon,
388,"['129', ' sandals', ' miniso']",2024-05-29,129, sandals, miniso,
389,"['66', ' groceries', ' 7-11']",2024-05-29,66, groceries, 7-11,
391,"['50', ' water', ' 7-11']",2024-05-30,50, water, 7-11,
392,"['60', ' breakfast', ' across the street']",2024-05-30,60, breakfast, across the street,
393,"['60', ' lunch', ' Saenee']",2024-05-30,60, lunch, Saenee,
394,"['50', ' water', ' 7-11', ' 2nd one of the day']",2024-05-30,50, water, 7-11, 2nd one of the day
395,"['7', ' snacks', ' 7-11', ' bread']",2024-05-30,7, snacks, 7-11, bread
396,"['15', ' bus', ' to Saenee']",2024-05-30,15, bus, to Saenee,
397,"['75', ' cafe time', ' amazon']",2024-05-30,75, cafe time, amazon,
399,"['80', ' lunch', ' gapao']",2024-05-31,80, lunch, gapao,
400,"['75', ' coffee', ' 3rd house']",2024-05-31,75, coffee, 3rd house,
401,"['200', ' dinner', ' tarm sang']",2024-05-31,200, dinner, tarm sang,
403,"['130', ' lunch', ' tarm sang']",2024-06-01,130, lunch, tarm sang,
404,['Dinner…?'],2024-06-01,Dinner…?,,,
406,"['270', ' coffee', ' artis']",2024-06-02,270, coffee, artis,
407,"['1200', ' massage', ' healthland']",2024-06-02,1200, massage, healthland,
408,"['100', ' lunch', ' terminal 21']",2024-06-02,100, lunch, terminal 21,
410,"['180', ' coffee', ' graydient']",2024-06-03,180, coffee, graydient,
411,"['420', ' coffee', ' cum coffee']",2024-06-03,420, coffee, cum coffee,
413,"['205', ' groceries', ' tops']",2024-06-04,205, groceries, tops,
415,"['0', '0', '0']",2024-06-05,0,0,0,
417,"['50', ' snacks', ' market']",2024-06-06,50, snacks, market,
418,"['70', ' lunch', ' song kaiton']",2024-06-06,70, lunch, song kaiton,
420,"['40', ' breakfast', ' Sai song']",2024-06-07,40, breakfast, Sai song,
421,"['20', ' snacks', ' tops']",2024-06-07,20, snacks, tops,
422,"['150', ' lunch', ' central']",2024-06-07,150, lunch, central,
423,"['139', ' drink', ' the mall']",2024-06-07,139, drink, the mall,
425,"['577', ' skincare', ' boots']",2024-06-08,577, skincare, boots,
426,"['2500', ' doctors appt', ' hospital']",2024-06-08,2500, doctors appt, hospital,
427,"['1350', ' teeth cleaning', ' dentist']",2024-06-08,1350, teeth cleaning, dentist,
428,"['400', ' dinner', ' Sai tai market']",2024-06-08,400, dinner, Sai tai market,
430,"['200', ' snacks', ' line man']",2024-06-09,200, snacks, line man,
431,"['200', ' lunch', ' line man']",2024-06-09,200, lunch, line man,
432,"['200', ' dinner', ' line man']",2024-06-09,200, dinner, line man,
434,"['200', ' lunch', ' line man', ' Khamu']",2024-06-10,200, lunch, line man, Khamu
436,"['699', ' dinner', ' Neua tair']",2024-06-11,699, dinner, Neua tair,
438,"['850', ' gifts', ' Suvarnabhumi']",2024-06-12,850, gifts, Suvarnabhumi,
439,"['300', ' dinner', ' McDonald’s']",2024-06-12,300, dinner, McDonald’s,
440,"['220', ' massage tip', ' health land']",2024-06-12,220, massage tip, health land,
441,"['120', ' highway toll', ' highway']",2024-06-12,120, highway toll, highway,
443,['JPY'],2024-06-13,JPY,,,
444,"['1400', ' Coffee beans', ' ribot']",2024-06-13,1400, Coffee beans, ribot,
445,"['580', ' dinner', ' torisho']",2024-06-13,580, dinner, torisho,
446,"['2184', ' groceries', ' summit']",2024-06-13,2184, groceries, summit,
448,"['3250', ' haircut', ' chill']",2024-06-14,3250, haircut, chill,
449,"['400', ' cafe study', ' doutour', ' shinokubo']",2024-06-14,400, cafe study, doutour, shinokubo
450,"['3250', ' social dinner', ' nene chicken']",2024-06-14,3250, social dinner, nene chicken,
452,"['1854', ' household', ' welpark']",2024-06-15,1854, household, welpark,
453,"['2936', ' groceries', ' summit']",2024-06-15,2936, groceries, summit,
455,"['3850', ' skincare', ' welpark', ' elixir']",2024-06-16,3850, skincare, welpark, elixir
456,"['1275', ' gifts', ' cocokara', ' for makyu']",2024-06-16,1275, gifts, cocokara, for makyu
457,"['4392', ' skincare', ' welpark']",2024-06-16,4392, skincare, welpark,
458,"['540', ' cafe time', ' doutour']",2024-06-16,540, cafe time, doutour,
459,"['1995', ' gifts', ' famima', ' umbrella']",2024-06-16,1995, gifts, famima, umbrella
461,"['816', ' groceries', ' summit']",2024-06-17,816, groceries, summit,
462,"['3134', ' hdmi stuff', ' Amazon']",2024-06-17,3134, hdmi stuff, Amazon,
463,"['3599', ' laptop sleeve', ' Amazon']",2024-06-17,3599, laptop sleeve, Amazon,
465,"['663', ' groceries', ' summit']",2024-06-18,663, groceries, summit,
466,"['2200', ' ship gifts', ' jp post']",2024-06-18,2200, ship gifts, jp post,
468,"['1639', ' social lunch', ' msb']",2024-06-19,1639, social lunch, msb,
469,"['200', ' household?', ' 7-11', ' glue']",2024-06-19,200, household?, 7-11, glue
470,"['235', ' snacks', ' 7-11', ' energy juice']",2024-06-19,235, snacks, 7-11, energy juice
